"DATERECORDED","STATE","POSITIVE","NEGATIVE","TOTAL","DEATH",
2020-05-06 00:00:00,"AK",372,23283,23655,10,
2020-05-09 00:00:00,"AK",378,26071,26449,10,
2020-05-07 00:00:00,"AK",374,23967,24341,10,
2020-05-08 00:00:00,"AK",377,25096,25473,10,
2020-05-07 00:00:00,"AL",8898,106275,115173,349,
2020-05-06 00:00:00,"AL",8581,100935,109516,340,
2020-05-09 00:00:00,"AL",9567,115927,125494,388,
2020-05-08 00:00:00,"AL",9221,110893,120114,375,
2020-05-07 00:00:00,"AR",3611,56384,59995,87,
2020-05-08 00:00:00,"AR",3694,60300,63994,88,
2020-05-09 00:00:00,"AR",3747,61781,65528,88,
2020-05-06 00:00:00,"AR",3568,55435,59003,85,
2020-05-08 00:00:00,"AS",0,83,83,0,
2020-05-06 00:00:00,"AS",0,83,83,0,
2020-05-09 00:00:00,"AS",0,83,83,0,
2020-05-07 00:00:00,"AS",0,83,83,0,
2020-05-09 00:00:00,"AZ",10960,117980,128940,532,
2020-05-06 00:00:00,"AZ",9707,82030,91737,426,
2020-05-08 00:00:00,"AZ",10526,109381,119907,517,
2020-05-07 00:00:00,"AZ",9945,101141,111086,450,
2020-05-08 00:00:00,"CA",62512,812760,875272,2585,
2020-05-06 00:00:00,"CA",58815,750221,809036,2412,
2020-05-09 00:00:00,"CA",64561,848009,912570,2678,
2020-05-07 00:00:00,"CA",60614,782260,842874,2504,
2020-05-08 00:00:00,"CO",18801,75735,94536,961,
2020-05-09 00:00:00,"CO",18827,77945,96772,960,
2020-05-06 00:00:00,"CO",17364,68612,85976,903,
2020-05-07 00:00:00,"CO",17830,73517,91347,921,
2020-05-07 00:00:00,"CT",31784,84390,116174,2797,
2020-05-08 00:00:00,"CT",32411,88130,120541,2874,
2020-05-06 00:00:00,"CT",30995,80452,111447,2718,
2020-05-09 00:00:00,"CT",32984,90585,123569,2932,
2020-05-08 00:00:00,"DC",5899,21216,27115,304,
2020-05-09 00:00:00,"DC",6102,22081,28183,311,
2020-05-07 00:00:00,"DC",5654,20202,25856,285,
2020-05-06 00:00:00,"DC",5461,19523,24984,277,
2020-05-07 00:00:00,"DE",5939,21387,27326,202,
2020-05-08 00:00:00,"DE",6111,22153,28264,213,
2020-05-06 00:00:00,"DE",5778,20690,26468,193,
2020-05-09 00:00:00,"DE",6277,23019,29296,221,
2020-05-06 00:00:00,"FL",38002,442049,481402,1605,
2020-05-08 00:00:00,"FL",39199,474142,514774,1738,
2020-05-07 00:00:00,"FL",38828,454122,494449,1667,
2020-05-09 00:00:00,"FL",40001,487730,529183,1785,
2020-05-08 00:00:00,"GA",32106,195461,227567,1377,
2020-05-09 00:00:00,"GA",32532,202792,235324,1400,
2020-05-07 00:00:00,"GA",31439,185864,217303,1336,
2020-05-06 00:00:00,"GA",30696,173441,204137,1311,
2020-05-07 00:00:00,"GU",151,3564,3715,5,
2020-05-08 00:00:00,"GU",151,3626,3777,5,
2020-05-06 00:00:00,"GU",151,3476,3627,5,
2020-05-09 00:00:00,"GU",151,3643,3794,5,
2020-05-06 00:00:00,"HI",625,34574,35199,17,
2020-05-08 00:00:00,"HI",629,35989,36618,17,
2020-05-07 00:00:00,"HI",626,34915,35541,17,
2020-05-09 00:00:00,"HI",629,35633,36262,17,
2020-05-06 00:00:00,"IA",10404,52767,63171,219,
2020-05-07 00:00:00,"IA",11059,55368,66427,231,
2020-05-09 00:00:00,"IA",11671,59805,71476,252,
2020-05-08 00:00:00,"IA",11457,58804,70261,243,
2020-05-07 00:00:00,"ID",2158,28732,30890,66,
2020-05-08 00:00:00,"ID",2178,29092,31270,67,
2020-05-09 00:00:00,"ID",2205,29601,31806,67,
2020-05-06 00:00:00,"ID",2127,28418,30545,65,
2020-05-07 00:00:00,"IL",70873,308170,379043,3111,
2020-05-09 00:00:00,"IL",76085,340246,416331,3349,
2020-05-06 00:00:00,"IL",68232,293028,361260,2974,
2020-05-08 00:00:00,"IL",73760,325954,399714,3241,
2020-05-09 00:00:00,"IN",23732,111954,135686,1490,
2020-05-06 00:00:00,"IN",21870,98626,120496,1377,
2020-05-08 00:00:00,"IN",23146,106982,130128,1447,
2020-05-07 00:00:00,"IN",22503,102279,124782,1414,
2020-05-08 00:00:00,"KS",6501,41207,47708,152,
2020-05-09 00:00:00,"KS",6751,43182,49933,157,
2020-05-07 00:00:00,"KS",6144,38678,44822,147,
2020-05-06 00:00:00,"KS",5734,36380,42114,144,
2020-05-07 00:00:00,"KY",5934,72672,78606,283,
2020-05-08 00:00:00,"KY",6129,75272,81401,294,
2020-05-06 00:00:00,"KY",5822,55192,61014,275,
2020-05-09 00:00:00,"KY",6288,80159,86447,298,
2020-05-06 00:00:00,"LA",30399,164273,194672,2115,
2020-05-08 00:00:00,"LA",30855,171561,202416,2227,
2020-05-07 00:00:00,"LA",30652,170115,200767,2208,
2020-05-09 00:00:00,"LA",31417,180740,212157,2267,
2020-05-06 00:00:00,"MA",72025,267614,339639,4420,
2020-05-08 00:00:00,"MA",75333,290690,366023,4702,
2020-05-07 00:00:00,"MA",73721,277911,351632,4552,
2020-05-09 00:00:00,"MA",76743,299794,376537,4840,
2020-05-08 00:00:00,"MD",30485,121702,152187,1560,
2020-05-07 00:00:00,"MD",29374,119226,148600,1503,
2020-05-06 00:00:00,"MD",28163,115849,144012,1437,
2020-05-09 00:00:00,"MD",31534,124494,156028,1614,
2020-05-06 00:00:00,"ME",1254,22092,23346,62,
2020-05-09 00:00:00,"ME",1408,22092,23500,64,
2020-05-07 00:00:00,"ME",1330,22092,23422,62,
2020-05-08 00:00:00,"ME",1374,22092,23466,63,
2020-05-09 00:00:00,"MI",46756,226730,273486,4526,
2020-05-08 00:00:00,"MI",46326,213927,260253,4393,
2020-05-07 00:00:00,"MI",45646,201416,247062,4343,
2020-05-06 00:00:00,"MI",45054,188177,233231,4250,
2020-05-09 00:00:00,"MN",10790,95473,106263,558,
2020-05-07 00:00:00,"MN",9365,88056,97421,508,
2020-05-08 00:00:00,"MN",10088,91182,101270,534,
2020-05-06 00:00:00,"MN",8579,84653,93232,485,
2020-05-08 00:00:00,"MO",9489,99232,108721,449,
2020-05-07 00:00:00,"MO",9341,94281,103622,418,
2020-05-09 00:00:00,"MO",9666,99232,108898,472,
2020-05-06 00:00:00,"MO",9102,91645,100747,396,
2020-05-07 00:00:00,"MP",15,1783,1798,2,
2020-05-08 00:00:00,"MP",15,2321,2336,2,
2020-05-06 00:00:00,"MP",15,1783,1798,2,
2020-05-09 00:00:00,"MP",16,2321,2337,2,
2020-05-07 00:00:00,"MS",8686,72101,80787,396,
2020-05-09 00:00:00,"MS",9378,72101,81479,421,
2020-05-06 00:00:00,"MS",8424,72101,80525,374,
2020-05-08 00:00:00,"MS",9090,72101,81191,409,
2020-05-09 00:00:00,"MT",458,20871,21329,16,
2020-05-06 00:00:00,"MT",456,19248,19704,16,
2020-05-08 00:00:00,"MT",458,20487,20945,16,
2020-05-07 00:00:00,"MT",456,19791,20247,16,
2020-05-09 00:00:00,"NC",14360,172002,186362,544,
2020-05-08 00:00:00,"NC",13868,164745,178613,527,
2020-05-07 00:00:00,"NC",13397,157931,171328,507,
2020-05-06 00:00:00,"NC",12758,151724,164482,477,
2020-05-08 00:00:00,"ND",1425,41076,42501,33,
2020-05-07 00:00:00,"ND",1371,39496,40867,31,
2020-05-06 00:00:00,"ND",1323,37309,38632,31,
2020-05-09 00:00:00,"ND",1464,42469,43933,35,
2020-05-08 00:00:00,"NE",7190,33222,40412,90,
2020-05-06 00:00:00,"NE",6438,29690,36128,82,
2020-05-07 00:00:00,"NE",6771,30987,37758,86,
2020-05-09 00:00:00,"NE",7831,35145,42976,92,
2020-05-06 00:00:00,"NH",2636,25097,27812,92,
2020-05-09 00:00:00,"NH",2947,29351,32602,121,
2020-05-07 00:00:00,"NH",2740,26066,29151,111,
2020-05-08 00:00:00,"NH",2843,27829,31204,114,
2020-05-06 00:00:00,"NJ",131890,157030,289514,8549,
2020-05-07 00:00:00,"NJ",133635,159023,293210,8801,
2020-05-08 00:00:00,"NJ",135454,163305,299312,8952,
2020-05-09 00:00:00,"NJ",137085,168121,305763,9116,
2020-05-08 00:00:00,"NM",4493,84539,89032,172,
2020-05-07 00:00:00,"NM",4291,81393,85684,169,
2020-05-06 00:00:00,"NM",4138,79113,83251,162,
2020-05-09 00:00:00,"NM",4673,88589,93262,181,
2020-05-07 00:00:00,"NV",5766,45591,51357,286,
2020-05-09 00:00:00,"NV",6028,50083,56111,301,
2020-05-06 00:00:00,"NV",5663,43612,49275,276,
2020-05-08 00:00:00,"NV",5884,47460,53344,293,
2020-05-09 00:00:00,"NY",333122,820646,1153768,21271,
2020-05-06 00:00:00,"NY",321192,707707,1028899,19877,
2020-05-08 00:00:00,"NY",330407,791136,1121543,21045,
2020-05-07 00:00:00,"NY",327649,762267,1089916,20828,
2020-05-08 00:00:00,"OH",23016,161300,184316,1306,
2020-05-06 00:00:00,"OH",21576,147353,168929,1225,
2020-05-09 00:00:00,"OH",23697,172973,196670,1331,
2020-05-07 00:00:00,"OH",22131,153928,176059,1271,
2020-05-08 00:00:00,"OK",4424,85433,89857,266,
2020-05-09 00:00:00,"OK",4490,91379,95869,270,
2020-05-06 00:00:00,"OK",4201,78689,82890,253,
2020-05-07 00:00:00,"OK",4330,82557,86887,260,
2020-05-07 00:00:00,"OR",2989,67469,70458,121,
2020-05-08 00:00:00,"OR",3068,69625,72693,124,
2020-05-06 00:00:00,"OR",2916,65060,67976,115,
2020-05-09 00:00:00,"OR",3160,71460,74620,127,
2020-05-08 00:00:00,"PA",54238,216321,270559,3616,
2020-05-09 00:00:00,"PA",55316,221791,277107,3688,
2020-05-07 00:00:00,"PA",52915,209873,262788,3416,
2020-05-06 00:00:00,"PA",51845,204495,256340,3106,
2020-05-07 00:00:00,"PR",2031,,2031,102,
2020-05-08 00:00:00,"PR",2156,,2156,107,
2020-05-06 00:00:00,"PR",1968,,1968,99,
2020-05-09 00:00:00,"PR",2173,,2173,108,
2020-05-06 00:00:00,"RI",10205,69168,79373,370,
2020-05-08 00:00:00,"RI",10779,74487,85266,399,
2020-05-07 00:00:00,"RI",10530,71788,82318,388,
2020-05-09 00:00:00,"RI",10989,76826,87815,418,
2020-05-08 00:00:00,"SC",7142,66300,73442,316,
2020-05-09 00:00:00,"SC",7531,73432,80963,330,
2020-05-07 00:00:00,"SC",6936,70546,77482,305,
2020-05-06 00:00:00,"SC",6936,70546,77482,305,
2020-05-07 00:00:00,"SD",2905,17209,20114,31,
2020-05-08 00:00:00,"SD",3144,18149,21293,31,
2020-05-06 00:00:00,"SD",2779,16637,19416,29,
2020-05-09 00:00:00,"SD",3393,19559,22952,34,
2020-05-08 00:00:00,"TN",14441,229137,243578,241,
2020-05-09 00:00:00,"TN",14768,237980,252748,242,
2020-05-07 00:00:00,"TN",14096,222232,236328,237,
2020-05-06 00:00:00,"TN",13938,213163,227101,239,
2020-05-07 00:00:00,"TX",35390,419772,455162,973,
2020-05-08 00:00:00,"TX",36609,440509,477118,1004,
