"DATERECORDED","STATE","POSITIVE","NEGATIVE","TEST_TOTAL","DEATH","DELIVERIES","COST","WEIGHT",
2020-05-06 00:00:00,"AK",372,23283,23655,10,1,1095.85,210,
2020-05-07 00:00:00,"AK",374,23967,24341,10,1,1095.85,210,
2020-05-08 00:00:00,"AK",377,25096,25473,10,1,1095.85,210,
2020-05-09 00:00:00,"AK",378,26071,26449,10,1,1095.85,210,
2020-05-10 00:00:00,"AK",379,26985,27364,10,1,1095.85,210,
2020-05-11 00:00:00,"AK",381,28299,28680,10,1,1095.85,210,
2020-05-06 00:00:00,"AL",8581,100935,109516,340,13,5366.07,970,
2020-05-07 00:00:00,"AL",8898,106275,115173,349,15,7557.77,1390,
2020-05-08 00:00:00,"AL",9221,110893,120114,375,118,438955.14,5178,
2020-05-09 00:00:00,"AL",9567,115927,125494,388,118,438955.14,5178,
2020-05-10 00:00:00,"AL",9777,117644,127421,393,118,438955.14,5178,
2020-05-11 00:00:00,"AL",10009,119435,129444,401,119,439272.64,5181,
2020-05-06 00:00:00,"AR",3568,55435,59003,85,11,4161.43,735,
2020-05-07 00:00:00,"AR",3611,56384,59995,87,14,7448.98,1365,
2020-05-08 00:00:00,"AR",3694,60300,63994,88,121,405052.84,12849,
2020-05-09 00:00:00,"AR",3747,61781,65528,88,121,405052.84,12849,
2020-05-10 00:00:00,"AR",3747,61781,65528,88,121,405052.84,12849,
2020-05-11 00:00:00,"AR",4034,64996,69030,94,121,405052.84,12849,
2020-05-06 00:00:00,"AZ",9707,82030,91737,426,15,57737.4,5018,
2020-05-07 00:00:00,"AZ",9945,101141,111086,450,16,58833.25,5228,
2020-05-08 00:00:00,"AZ",10526,109381,119907,517,68,1008607.36,7985,
2020-05-09 00:00:00,"AZ",10960,117980,128940,532,68,1008607.36,7985,
2020-05-10 00:00:00,"AZ",11119,126620,137739,536,68,1008607.36,7985,
2020-05-11 00:00:00,"AZ",11380,138861,150241,542,70,1015424.22,8187,
2020-05-06 00:00:00,"CA",58815,750221,809036,2412,450,1968943.17,55466,
2020-05-07 00:00:00,"CA",60614,782260,842874,2504,489,2027302.23,64047,
2020-05-08 00:00:00,"CA",62512,812760,875272,2585,1261,5443518.96,156711,
2020-05-09 00:00:00,"CA",64561,848009,912570,2678,1261,5443518.96,156711,
2020-05-10 00:00:00,"CA",66680,888984,955664,2745,1261,5443518.96,156711,
2020-05-11 00:00:00,"CA",67939,923958,991897,2770,1268,5565722.38,156977,
2020-05-06 00:00:00,"CO",17364,68612,85976,903,19,5274.69,1077,
2020-05-07 00:00:00,"CO",17830,73517,91347,921,22,8562.24,1707,
2020-05-08 00:00:00,"CO",18801,75735,94536,961,82,203458.7,8403,
2020-05-09 00:00:00,"CO",18827,77945,96772,960,82,203458.7,8403,
