"STATE","DATERECORDED","OVER20POP","OVER65POP","TOTAL_POP","POSITIVE","NEGATIVE","TOTAL","DEATH",
"AK",2020-05-11 00:00:00,506246,81432,696053,381,28299,28680,10,
"AL",2020-05-11 00:00:00,3569938,802656,4754221,10009,119435,129444,401,
"AR",2020-05-11 00:00:00,2016536,456292,2729590,4034,64996,69030,94,
"AZ",2020-05-11 00:00:00,5327119,1257002,7162163,11380,138861,150241,542,
"CA",2020-05-11 00:00:00,29532613,5668745,39555944,67939,923958,991897,2770,
"CO",2020-05-11 00:00:00,4140119,776448,5514613,19899,88891,108790,981,
"CT",2020-05-11 00:00:00,2733719,615121,3572665,33765,98743,132508,3008,
"DC",2020-05-11 00:00:00,553743,85303,702455,6389,23872,30261,328,
"DE",2020-05-11 00:00:00,738096,181086,967171,6565,25363,31928,225,
"FL",2020-05-11 00:00:00,16485978,4332984,21172397,40982,520075,562137,1805,
"GA",2020-05-11 00:00:00,7021464,1299143,9588781,33927,217361,251288,1441,
"HI",2020-05-11 00:00:00,1086697,260930,1420403,632,37051,37683,17,
"IA",2020-05-11 00:00:00,2233104,514325,3019688,12373,65419,77792,271,
"ID",2020-05-11 00:00:00,1185024,259708,1648993,2230,29912,32142,67,
"IL",2020-05-11 00:00:00,9281859,1930315,12370759,79007,363418,442425,3459,
"IN",2020-05-11 00:00:00,4724669,1000904,6409751,24627,122061,146688,1540,
"KS",2020-05-11 00:00:00,2082158,450592,2855377,7116,46993,54109,158,
"KY",2020-05-11 00:00:00,2861329,620304,3829332,6440,80483,86923,304,
"LA",2020-05-11 00:00:00,3352314,699351,4530405,31815,189015,220830,2308,
"MA",2020-05-11 00:00:00,5327430,1139100,6902149,78462,316266,394728,5108,
"MD",2020-05-11 00:00:00,3857635,773954,5130732,33373,131407,164780,1683,
"ME",2020-05-11 00:00:00,1027706,268118,1302770,1462,22092,23554,65,
"MI",2020-05-11 00:00:00,7411648,1662944,9808758,47552,251396,298948,4584,
"MN",2020-05-11 00:00:00,4044587,863378,5442222,11799,103982,115781,591,
"MO",2020-05-11 00:00:00,3890183,866946,5205805,9918,105702,115620,488,
"MS",2020-05-11 00:00:00,2137752,460856,2909479,9674,86211,95885,435,
"MT",2020-05-11 00:00:00,792269,194516,1043488,459,22113,22572,16,
"NC",2020-05-11 00:00:00,7507942,1612122,10012851,15045,180820,195865,550,
"ND",2020-05-11 00:00:00,513490,103668,696487,1518,45496,47014,36,
"NE",2020-05-11 00:00:00,1326812,284390,1830761,8315,37924,46239,98,
"NH",2020-05-11 00:00:00,1061833,245645,1356458,3160,31723,35144,133,
"NJ",2020-05-11 00:00:00,6739901,1438527,8908520,139945,285988,425933,9310,
"NM",2020-05-11 00:00:00,1477076,344982,1988621,4863,97635,102498,200,
"NV",2020-05-11 00:00:00,2273004,474283,3027534,6152,53932,60084,306,
"NY",2020-05-11 00:00:00,14821486,3173276,19346227,337055,867596,1204651,21640,
"OH",2020-05-11 00:00:00,8600700,1947733,11442746,24777,185753,210530,1357,
"OK",2020-05-11 00:00:00,2847631,609881,3900060,4613,91379,95992,274,
"OR",2020-05-11 00:00:00,3173726,727427,4133368,3286,74320,77606,130,
"PA",2020-05-11 00:00:00,9668730,2297116,12621902,57154,231704,288858,3731,
"PR",2020-05-11 00:00:00,0,0,0,2256,,2256,113,
"RI",2020-05-11 00:00:00,780157,172658,1008666,11450,81882,93332,430,
"SC",2020-05-11 00:00:00,3597092,847049,4756777,7653,76804,84457,331,
"SD",2020-05-11 00:00:00,584491,133728,799465,3614,20964,24578,34,
"TN",2020-05-11 00:00:00,4864059,1049315,6470820,15544,257733,273277,251,
"TX",2020-05-11 00:00:00,19933055,3453455,27932132,39869,485828,525697,1100,
"UT",2020-05-11 00:00:00,2113435,345671,3131467,6362,144223,150585,68,
"VA",2020-05-11 00:00:00,5111299,987704,6836948,25070,125547,151049,850,
"VT",2020-05-11 00:00:00,478583,118134,612959,926,19945,20871,53,
"WA",2020-05-11 00:00:00,5652275,1152763,7476334,16891,231984,248875,931,
"WI",2020-05-11 00:00:00,4281706,958677,5683383,10418,108033,118631,409,
"WV",2020-05-11 00:00:00,1260637,321348,1630954,1366,62103,63469,54,
"WY",2020-05-11 00:00:00,421140,93464,567924,662,11403,12065,7,
