"DATERECORDED","STATE","POSITIVE","NEGATIVE","TOTAL","DEATH"
2020-06-05 00:00:00,"CA",58815,750221,809036,2412
2020-07-05 00:00:00,"CA",60614,782260,842874,2504
2020-08-05 00:00:00,"CA",62512,812760,875272,2585
2020-09-05 00:00:00,"CA",64561,848009,912570,2678
2020-06-05 00:00:00,"GA",30696,173441,204137,1311
2020-07-05 00:00:00,"GA",31439,185864,217303,1336
2020-08-05 00:00:00,"GA",32106,195461,227567,1377
2020-09-05 00:00:00,"GA",32532,202792,235324,1400
2020-06-05 00:00:00,"NM",4138,79113,83251,162
2020-07-05 00:00:00,"NM",4291,81393,85684,169
2020-08-05 00:00:00,"NM",4493,84539,89032,172
2020-09-05 00:00:00,"NM",4673,88589,93262,181
2020-06-05 00:00:00,"NY",321192,707707,1028899,19877
2020-07-05 00:00:00,"NY",327649,762267,1089916,20828
2020-08-05 00:00:00,"NY",330407,791136,1121543,21045
2020-09-05 00:00:00,"NY",333122,820646,1153768,21271
