"STATE","DATERECORDED","OVER20POP","OVER65POP","TOTAL_POP","POSITIVE","NEGATIVE","TOTAL","DEATH",
"AK",2020-05-09 00:00:00,506246,81432,696053,378,26071,26449,10,
"AL",2020-05-09 00:00:00,3569938,802656,4754221,9567,115927,125494,388,
"AR",2020-05-09 00:00:00,2016536,456292,2729590,3747,61781,65528,88,
"AZ",2020-05-09 00:00:00,5327119,1257002,7162163,10960,117980,128940,532,
"CA",2020-05-09 00:00:00,29532613,5668745,39555944,64561,848009,912570,2678,
"CO",2020-05-09 00:00:00,4140119,776448,5514613,18827,77945,96772,960,
"CT",2020-05-09 00:00:00,2733719,615121,3572665,32984,90585,123569,2932,
"DC",2020-05-09 00:00:00,553743,85303,702455,6102,22081,28183,311,
"DE",2020-05-09 00:00:00,738096,181086,967171,6277,23019,29296,221,
"FL",2020-05-09 00:00:00,16485978,4332984,21172397,40001,487730,529183,1785,
"GA",2020-05-09 00:00:00,7021464,1299143,9588781,32532,202792,235324,1400,
"HI",2020-05-09 00:00:00,1086697,260930,1420403,629,35633,36262,17,
"IA",2020-05-09 00:00:00,2233104,514325,3019688,11671,59805,71476,252,
"ID",2020-05-09 00:00:00,1185024,259708,1648993,2205,29601,31806,67,
"IL",2020-05-09 00:00:00,9281859,1930315,12370759,76085,340246,416331,3349,
"IN",2020-05-09 00:00:00,4724669,1000904,6409751,23732,111954,135686,1490,
"KS",2020-05-09 00:00:00,2082158,450592,2855377,6751,43182,49933,157,
"KY",2020-05-09 00:00:00,2861329,620304,3829332,6288,80159,86447,298,
"LA",2020-05-09 00:00:00,3352314,699351,4530405,31417,180740,212157,2267,
"MA",2020-05-09 00:00:00,5327430,1139100,6902149,76743,299794,376537,4840,
"MD",2020-05-09 00:00:00,3857635,773954,5130732,31534,124494,156028,1614,
"ME",2020-05-09 00:00:00,1027706,268118,1302770,1408,22092,23500,64,
"MI",2020-05-09 00:00:00,7411648,1662944,9808758,46756,226730,273486,4526,
"MN",2020-05-09 00:00:00,4044587,863378,5442222,10790,95473,106263,558,
"MO",2020-05-09 00:00:00,3890183,866946,5205805,9666,99232,108898,472,
"MS",2020-05-09 00:00:00,2137752,460856,2909479,9378,72101,81479,421,
"MT",2020-05-09 00:00:00,792269,194516,1043488,458,20871,21329,16,
"NC",2020-05-09 00:00:00,7507942,1612122,10012851,14360,172002,186362,544,
"ND",2020-05-09 00:00:00,513490,103668,696487,1464,42469,43933,35,
"NE",2020-05-09 00:00:00,1326812,284390,1830761,7831,35145,42976,92,
"NH",2020-05-09 00:00:00,1061833,245645,1356458,2947,29351,32602,121,
"NJ",2020-05-09 00:00:00,6739901,1438527,8908520,137085,168121,305763,9116,
"NM",2020-05-09 00:00:00,1477076,344982,1988621,4673,88589,93262,181,
"NV",2020-05-09 00:00:00,2273004,474283,3027534,6028,50083,56111,301,
"NY",2020-05-09 00:00:00,14821486,3173276,19346227,333122,820646,1153768,21271,
"OH",2020-05-09 00:00:00,8600700,1947733,11442746,23697,172973,196670,1331,
"OK",2020-05-09 00:00:00,2847631,609881,3900060,4490,91379,95869,270,
"OR",2020-05-09 00:00:00,3173726,727427,4133368,3160,71460,74620,127,
"PA",2020-05-09 00:00:00,9668730,2297116,12621902,55316,221791,277107,3688,
"PR",2020-05-09 00:00:00,0,0,0,2173,,2173,108,
"RI",2020-05-09 00:00:00,780157,172658,1008666,10989,76826,87815,418,
"SC",2020-05-09 00:00:00,3597092,847049,4756777,7531,73432,80963,330,
"SD",2020-05-09 00:00:00,584491,133728,799465,3393,19559,22952,34,
"TN",2020-05-09 00:00:00,4864059,1049315,6470820,14768,237980,252748,242,
"TX",2020-05-09 00:00:00,19933055,3453455,27932132,37860,451434,489294,1049,
"UT",2020-05-09 00:00:00,2113435,345671,3131467,6103,137191,143294,66,
"VA",2020-05-09 00:00:00,5111299,987704,6836948,23196,113953,137650,827,
"VT",2020-05-09 00:00:00,478583,118134,612959,921,18606,19527,53,
"WA",2020-05-09 00:00:00,5652275,1152763,7476334,16388,219447,235835,905,
"WI",2020-05-09 00:00:00,4281706,958677,5683383,9939,101935,112078,398,
"WV",2020-05-09 00:00:00,1260637,321348,1630954,1335,59662,60997,53,
"WY",2020-05-09 00:00:00,421140,93464,567924,644,11403,12047,7,
