fips_code,State,Population,CountyName,StaffedAllBeds,StaffedICUBeds,LicensedAllBeds,AllBedOccupancyRate,ICUBedOccupancyRate,Population_20_plus,Population_65_plus,StaffedAllBedsPer1000People,StaffedAllBedsPer1000Adults20_plus,StaffedAllBedsPer1000Elderly65_plus,StaffedICUBedsPer1000People,StaffedICUBedsPer1000Adults20_plus,StaffedICUBedsPer1000Elderly65_plus,LicensedAllBedsPer1000People,LicensedAllBedsPer1000Adults20_plus,LicensedAllBedsPer1000Elderly65_plus
2016,AK,5723.0,Aleutians West,0.0,0.0,0.0,,,4983.0,394.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020,AK,291538.0,Anchorage,979.0,73.0,1149.0,0.66,0.71,213508.0,32333.0,3.358,4.585,30.279,0.25,0.342,2.258,3.9410000000000003,5.382000000000001,35.536
2050,AK,18216.0,Bethel,34.0,0.0,37.0,0.4,,11082.0,1402.0,1.8659999999999999,3.068,24.250999999999998,0.0,0.0,0.0,2.031,3.339,26.391
2070,AK,5000.0,Dillingham,18.0,0.0,18.0,0.15,,3278.0,470.0,3.6,5.4910000000000005,38.298,0.0,0.0,0.0,3.6,5.4910000000000005,38.298
2090,AK,98971.0,Fairbanks North Star,145.0,13.0,175.0,0.46,0.66,72505.0,10204.0,1.465,2.0,14.21,0.131,0.179,1.274,1.768,2.414,17.15
2110,AK,32113.0,Juneau,45.0,9.0,73.0,0.41,0.32,24525.0,4298.0,1.401,1.835,10.47,0.28,0.36700000000000005,2.094,2.273,2.977,16.985
2122,AK,58533.0,Kenai Peninsula,76.0,6.0,77.0,0.56,0.69,44086.0,10188.0,1.298,1.724,7.46,0.10300000000000001,0.136,0.589,1.315,1.7469999999999999,7.558
2130,AK,13918.0,Ketchikan Gateway,25.0,4.0,25.0,0.42,0.31,10514.0,2162.0,1.796,2.378,11.562999999999999,0.287,0.38,1.85,1.796,2.378,11.562999999999999
2150,AK,13345.0,Kodiak Island,24.0,0.0,25.0,0.22,,9602.0,1379.0,1.798,2.499,17.404,0.0,0.0,0.0,1.8730000000000002,2.6039999999999996,18.129
2170,AK,107610.0,Matanuska-Susitna,74.0,14.0,125.0,0.72,0.33,76265.0,12814.0,0.688,0.97,5.775,0.13,0.184,1.093,1.162,1.639,9.755
2180,AK,10008.0,Nome,0.0,0.0,36.0,,,6248.0,774.0,0.0,0.0,0.0,0.0,0.0,0.0,3.597,5.7620000000000005,46.512
2185,AK,9872.0,North Slope,20.0,0.0,0.0,0.06,,7055.0,673.0,2.026,2.835,29.718000000000004,0.0,0.0,0.0,0.0,0.0,0.0
2188,AK,7671.0,Northwest Arctic,17.0,0.0,17.0,0.23,,4736.0,561.0,2.2159999999999997,3.59,30.303,0.0,0.0,0.0,2.2159999999999997,3.59,30.303
2195,AK,3221.0,Petersburg,12.0,0.0,12.0,0.26,,2484.0,615.0,3.7260000000000004,4.831,19.512,0.0,0.0,0.0,3.7260000000000004,4.831,19.512
2220,AK,8647.0,Sitka,25.0,0.0,52.0,0.37,,6598.0,1361.0,2.891,3.7889999999999997,18.369,0.0,0.0,0.0,6.013999999999999,7.881,38.207
2261,AK,9164.0,Valdez-Cordova,24.0,0.0,24.0,0.22,,6823.0,1256.0,2.6189999999999998,3.5180000000000002,19.108,0.0,0.0,0.0,2.6189999999999998,3.5180000000000002,19.108
2275,AK,2503.0,Wrangell,8.0,0.0,8.0,0.19,,1954.0,548.0,3.196,4.093999999999999,14.599,0.0,0.0,0.0,3.196,4.093999999999999,14.599
1001,AL,55601.0,Autauga,55.0,6.0,85.0,0.62,0.53,41177.0,8653.0,0.9890000000000001,1.3359999999999999,6.356,0.10800000000000001,0.146,0.693,1.5290000000000001,2.064,9.823
1003,AL,218022.0,Baldwin,362.0,51.0,386.0,0.64,0.65,166352.0,44571.0,1.66,2.176,8.122,0.23399999999999999,0.307,1.1440000000000001,1.77,2.32,8.66
1005,AL,24881.0,Barbour,30.0,5.0,74.0,0.43,0.42,19189.0,4832.0,1.206,1.5630000000000002,6.209,0.201,0.261,1.035,2.9739999999999998,3.8560000000000003,15.315
1007,AL,22400.0,Bibb,25.0,0.0,35.0,0.37,,17348.0,3690.0,1.1159999999999999,1.4409999999999998,6.775,0.0,0.0,0.0,1.5619999999999998,2.0180000000000002,9.485
1009,AL,57840.0,Blount,25.0,6.0,25.0,0.5,0.34,43175.0,10548.0,0.43200000000000005,0.579,2.37,0.10400000000000001,0.139,0.569,0.43200000000000005,0.579,2.37
1011,AL,10138.0,Bullock,30.0,0.0,61.0,0.21,,7810.0,1661.0,2.9589999999999996,3.841,18.061,0.0,0.0,0.0,6.017,7.81,36.725
1013,AL,19680.0,Butler,66.0,7.0,94.0,0.18,0.38,14868.0,3995.0,3.3539999999999996,4.439,16.521,0.35600000000000004,0.47100000000000003,1.7519999999999998,4.776,6.322,23.529
1015,AL,114277.0,Calhoun,446.0,24.0,590.0,0.49,0.94,86499.0,20247.0,3.903,5.156000000000001,22.028000000000002,0.21,0.27699999999999997,1.185,5.162999999999999,6.821000000000001,29.14
1017,AL,33615.0,Chambers,0.0,0.0,115.0,,,25934.0,6562.0,0.0,0.0,0.0,0.0,0.0,0.0,3.4210000000000003,4.434,17.525
1019,AL,26032.0,Cherokee,45.0,0.0,60.0,0.24,,20497.0,5980.0,1.729,2.195,7.525,0.0,0.0,0.0,2.305,2.927,10.033
1021,AL,44153.0,Chilton,26.0,6.0,30.0,0.28,0.09,32683.0,7411.0,0.589,0.7959999999999999,3.508,0.136,0.184,0.81,0.679,0.9179999999999999,4.048
1023,AL,12841.0,Choctaw,25.0,0.0,25.0,0.23,,10028.0,2953.0,1.9469999999999998,2.4930000000000003,8.466000000000001,0.0,0.0,0.0,1.9469999999999998,2.4930000000000003,8.466000000000001
1025,AL,23920.0,Clarke,56.0,0.0,85.0,0.3,,18171.0,4753.0,2.3409999999999997,3.082,11.782,0.0,0.0,0.0,3.554,4.678,17.883
1027,AL,13275.0,Clay,46.0,4.0,46.0,0.29,0.41,10291.0,2751.0,3.465,4.47,16.721,0.301,0.389,1.454,3.465,4.47,16.721
1031,AL,51909.0,Coffee,99.0,7.0,131.0,0.28,0.34,38476.0,8801.0,1.9069999999999998,2.573,11.249,0.135,0.182,0.795,2.524,3.405,14.885
1033,AL,54762.0,Colbert,300.0,22.0,383.0,0.3,0.33,42196.0,10914.0,5.478,7.11,27.488000000000003,0.402,0.521,2.016,6.994,9.077,35.093
1035,AL,12277.0,Conecuh,44.0,0.0,58.0,0.29,,9476.0,2762.0,3.5839999999999996,4.643,15.93,0.0,0.0,0.0,4.724,6.121,20.999000000000002
1039,AL,36986.0,Covington,128.0,13.0,187.0,0.32,0.68,28151.0,7790.0,3.4610000000000003,4.547,16.430999999999997,0.35100000000000003,0.462,1.669,5.056,6.643,24.005
1041,AL,13824.0,Crenshaw,29.0,0.0,93.0,0.12,,10378.0,2629.0,2.0980000000000003,2.7939999999999996,11.030999999999999,0.0,0.0,0.0,6.727,8.961,35.375
