DateRecorded,Country,State,City,Confirmed,Deaths,Recovered,Active,Latitude,Longitude
05/05/2020,US,South Carolina,Abbeville,33,0,0,33,34.22333378,-82.46170658
05/05/2020,US,Louisiana,Acadia,136,10,0,126,30.2950649,-92.41419698
05/05/2020,US,Virginia,Accomack,429,7,0,422,37.76707161,-75.63234615
05/05/2020,US,Idaho,Ada,713,19,0,694,43.4526575,-116.24155159999998
05/05/2020,US,Iowa,Adair,2,0,0,2,41.33075609,-94.47105874
05/05/2020,US,Kentucky,Adair,81,13,0,68,37.10459774,-85.28129668
05/05/2020,US,Missouri,Adair,12,0,0,12,40.19058551,-92.60078167
05/05/2020,US,Oklahoma,Adair,66,3,0,63,35.88494195,-94.65859267
05/05/2020,US,Colorado,Adams,1883,72,0,1811,39.87432092,-104.3362578
05/05/2020,US,Idaho,Adams,3,0,0,3,44.89333571,-116.4545247
05/05/2020,US,Illinois,Adams,40,1,0,39,39.98815591,-91.18786813
05/05/2020,US,Indiana,Adams,9,1,0,8,40.7457653,-84.93671406
05/05/2020,US,Mississippi,Adams,151,10,0,141,31.47669768,-91.35326037
05/05/2020,US,Nebraska,Adams,204,3,0,201,40.52449420000001,-98.50117804
05/05/2020,US,Ohio,Adams,5,0,0,5,38.84541072,-83.4718964
05/05/2020,US,Pennsylvania,Adams,148,5,0,143,39.87140411,-77.21610347
05/05/2020,US,Washington,Adams,48,0,0,48,46.98299757,-118.5601734
05/05/2020,US,Wisconsin,Adams,4,1,0,3,43.96974651,-89.76782777
05/05/2020,US,Vermont,Addison,61,2,0,59,44.03217337,-73.14130877
05/05/2020,US,South Carolina,Aiken,108,6,0,102,33.54338026,-81.63645384
05/05/2020,US,Minnesota,Aitkin,1,0,0,1,46.60962049,-93.4116826
05/05/2020,US,Florida,Alachua,289,5,0,284,29.67866525,-82.35928158
05/05/2020,US,North Carolina,Alamance,128,3,0,125,36.0434701,-79.39976137
05/05/2020,US,California,Alameda,1809,66,0,1743,37.64629437,-121.8929271
05/05/2020,US,Colorado,Alamosa,14,2,0,12,37.57250606,-105.7885451
05/05/2020,US,New York,Albany,1294,49,0,1245,42.60060306,-73.97723916
05/05/2020,US,Wyoming,Albany,8,0,0,8,41.65498705,-105.7235415
05/05/2020,US,Virginia,Albemarle,110,4,0,106,38.02080697,-78.55481085
05/05/2020,US,Michigan,Alcona,4,1,0,3,44.6846864,-83.59507875
05/05/2020,US,Mississippi,Alcorn,10,1,0,9,34.88084463,-88.57996173
05/05/2020,US,Illinois,Alexander,4,0,0,4,37.18049267,-89.32910838
05/05/2020,US,North Carolina,Alexander,5,0,0,5,35.922379600000006,-81.17751948
05/05/2020,US,Virginia,Alexandria,983,26,0,957,38.814003,-77.08183073
05/05/2020,US,Oklahoma,Alfalfa,1,0,0,1,36.73090616,-98.32408495
05/05/2020,US,Iowa,Allamakee,98,4,0,94,43.28383218,-91.37860922
05/05/2020,US,Michigan,Allegan,120,2,0,118,42.59147037,-85.89102866
05/05/2020,US,Maryland,Allegany,129,12,0,117,39.62357628,-78.69280486
05/05/2020,US,New York,Allegany,35,0,0,35,42.25748406,-78.02750466
05/05/2020,US,North Carolina,Alleghany,6,0,0,6,36.49360862,-81.12857041
05/05/2020,US,Virginia,Alleghany,6,0,0,6,37.78636074,-80.00222498
05/05/2020,US,Pennsylvania,Allegheny,1375,109,0,1266,40.46809875,-79.98167747
05/05/2020,US,Indiana,Allen,695,55,0,640,41.09194313,-85.06800636
05/05/2020,US,Kentucky,Allen,16,0,0,16,36.75197631,-86.19457544
05/05/2020,US,Louisiana,Allen,90,9,0,81,30.65385745,-92.82442028
05/05/2020,US,Ohio,Allen,135,25,0,110,40.77285242,-84.10802343
05/05/2020,US,South Carolina,Allendale,18,1,0,17,32.98837386,-81.35321066
05/05/2020,US,Michigan,Alpena,85,7,0,78,45.03477666,-83.62212411
05/05/2020,US,California,Alpine,2,0,0,2,38.59678594,-119.8223594
05/05/2020,US,California,Amador,8,0,0,8,38.44583082,-120.65696
05/05/2020,US,Virginia,Amelia,18,1,0,17,37.34081025,-77.98584649
05/05/2020,US,Virginia,Amherst,15,0,0,15,37.60308293,-79.14548696
05/05/2020,US,Mississippi,Amite,32,0,0,32,31.17467303,-90.80501621
05/05/2020,US,Alaska,Anchorage,190,4,0,186,61.14998174,-149.14269860000005
05/05/2020,US,Kansas,Anderson,0,0,0,0,38.21413251,-95.29272815
05/05/2020,US,Kentucky,Anderson,9,1,0,8,38.00671029,-84.99171713
05/05/2020,US,South Carolina,Anderson,172,8,0,164,34.51828081,-82.63959517
05/05/2020,US,Tennessee,Anderson,29,1,0,28,36.12684348,-84.19965764
05/05/2020,US,Texas,Anderson,38,0,0,38,31.81534745,-95.65354823
05/05/2020,US,Missouri,Andrew,6,0,0,6,39.98492163,-94.80163024
