DateRecorded,State,Recovered
05/10/2020,AK,324.0
05/10/2020,AR,2968.0
05/10/2020,AZ,2775.0
05/10/2020,CO,3023.0
05/10/2020,CT,5413.0
05/10/2020,DC,880.0
05/10/2020,DE,2537.0
05/10/2020,HI,551.0
05/10/2020,IA,5154.0
05/10/2020,ID,1473.0
05/10/2020,KS,371.0
05/10/2020,KY,2308.0
05/10/2020,LA,20316.0
05/10/2020,MD,2293.0
05/10/2020,ME,861.0
05/10/2020,MI,22686.0
05/10/2020,MN,6882.0
05/10/2020,MS,4421.0
05/10/2020,MT,422.0
05/10/2020,ND,792.0
05/10/2020,NH,1228.0
05/10/2020,NJ,15642.0
05/10/2020,NM,1268.0
05/10/2020,NV,182.0
05/10/2020,NY,58006.0
05/10/2020,OK,3204.0
05/10/2020,OR,1125.0
05/10/2020,RI,809.0
05/10/2020,SC,4120.0
05/10/2020,SD,2147.0
05/10/2020,TN,7528.0
05/10/2020,TX,21022.0
05/10/2020,UT,3033.0
05/10/2020,VA,3201.0
05/10/2020,VT,777.0
05/10/2020,WI,5014.0
05/10/2020,WV,775.0
05/10/2020,WY,443.0
05/10/2020,GU,124.0
05/10/2020,MP,12.0
05/10/2020,VI,59.0
