DateRecorded,State,CountyName,AllBedOccupancyRate
05/13/2020,AK,Anchorage,0.66
05/13/2020,AK,Bethel,0.4
05/13/2020,AK,Dillingham,0.15
05/13/2020,AK,Fairbanks North Star,0.46
05/13/2020,AK,Juneau,0.41
05/13/2020,AK,Kenai Peninsula,0.56
05/13/2020,AK,Ketchikan Gateway,0.42
05/13/2020,AK,Kodiak Island,0.22
05/13/2020,AK,Matanuska-Susitna,0.72
05/13/2020,AK,North Slope,0.06
05/13/2020,AK,Northwest Arctic,0.23
05/13/2020,AK,Petersburg,0.26
05/13/2020,AK,Sitka,0.37
05/13/2020,AK,Valdez-Cordova,0.22
05/13/2020,AK,Wrangell,0.19
05/13/2020,AL,Autauga,0.62
05/13/2020,AL,Baldwin,0.64
05/13/2020,AL,Barbour,0.43
05/13/2020,AL,Bibb,0.37
05/13/2020,AL,Blount,0.5
05/13/2020,AL,Bullock,0.21
05/13/2020,AL,Butler,0.18
05/13/2020,AL,Calhoun,0.49
05/13/2020,AL,Cherokee,0.24
05/13/2020,AL,Chilton,0.28
05/13/2020,AL,Choctaw,0.23
05/13/2020,AL,Clarke,0.3
05/13/2020,AL,Clay,0.29
05/13/2020,AL,Coffee,0.28
05/13/2020,AL,Colbert,0.3
05/13/2020,AL,Conecuh,0.29
05/13/2020,AL,Covington,0.32
05/13/2020,AL,Crenshaw,0.12
05/13/2020,AL,Cullman,0.49
05/13/2020,AL,Dale,0.28
05/13/2020,AL,Dallas,0.43
05/13/2020,AL,DeKalb,0.32
05/13/2020,AL,Elmore,0.33
05/13/2020,AL,Escambia,0.34
05/13/2020,AL,Etowah,0.5
05/13/2020,AL,Fayette,0.26
05/13/2020,AL,Franklin,0.36
05/13/2020,AL,Geneva,0.16
05/13/2020,AL,Greene,0.06
05/13/2020,AL,Hale,0.25
05/13/2020,AL,Houston,0.74
05/13/2020,AL,Jackson,0.16
05/13/2020,AL,Jefferson,0.72
05/13/2020,AL,Lauderdale,0.73
05/13/2020,AL,Lawrence,0.16
05/13/2020,AL,Lee,0.59
05/13/2020,AL,Limestone,0.52
05/13/2020,AL,Madison,0.73
05/13/2020,AL,Marengo,0.44
05/13/2020,AL,Marion,0.2
05/13/2020,AL,Marshall,0.51
05/13/2020,AL,Mobile,0.69
05/13/2020,AL,Monroe,0.2
05/13/2020,AL,Montgomery,0.71
05/13/2020,AL,Morgan,0.56
05/13/2020,AL,Pickens,0.15
05/13/2020,AL,Pike,0.18
05/13/2020,AL,Shelby,0.59
05/13/2020,AL,St. Clair,0.58
05/13/2020,AL,Sumter,0.45
05/13/2020,AL,Talladega,0.26
05/13/2020,AL,Tallapoosa,0.33
05/13/2020,AL,Tuscaloosa,0.78
05/13/2020,AL,Walker,0.31
05/13/2020,AL,Washington,0.39
05/13/2020,AL,Wilcox,0.07
05/13/2020,AL,Winston,0.28
05/13/2020,AR,Arkansas,0.16
05/13/2020,AR,Ashley,0.42
05/13/2020,AR,Baxter,0.52
05/13/2020,AR,Benton,0.54
05/13/2020,AR,Boone,0.21
05/13/2020,AR,Bradley,0.26
05/13/2020,AR,Carroll,0.21
05/13/2020,AR,Chicot,0.36
05/13/2020,AR,Clark,0.51
05/13/2020,AR,Clay,0.49
05/13/2020,AR,Columbia,0.4
05/13/2020,AR,Conway,0.31
05/13/2020,AR,Craighead,0.7
05/13/2020,AR,Crawford,0.2
05/13/2020,AR,Crittenden,0.29
05/13/2020,AR,Cross,0.58
05/13/2020,AR,Dallas,0.08
05/13/2020,AR,Desha,0.26
05/13/2020,AR,Drew,0.44
05/13/2020,AR,Faulkner,0.46
05/13/2020,AR,Franklin,0.1
