DateRecorded,State,Positive,Negative,Death,Total,DataQualityGrade,DataGrade
05/06/2020,AK,372,23283.0,10,23655,C,A
05/06/2020,AL,8581,100935.0,340,109516,B,B
05/06/2020,AR,3568,55435.0,85,59003,B,A
05/06/2020,AZ,9707,82030.0,426,91737,A+,B
05/06/2020,CA,58815,750221.0,2412,809036,B,B
05/06/2020,CO,17364,68612.0,903,85976,B,A
05/06/2020,CT,30995,80452.0,2718,111447,B,A
05/06/2020,DC,5461,19523.0,277,24984,A+,A
05/06/2020,DE,5778,20690.0,193,26468,B,A
05/06/2020,FL,38002,442049.0,1605,481402,C,A
05/06/2020,GA,30696,173441.0,1311,204137,A,A
05/06/2020,HI,625,34574.0,17,35199,B,A
05/06/2020,IA,10404,52767.0,219,63171,B,A
05/06/2020,ID,2127,28418.0,65,30545,C,A
05/06/2020,IL,68232,293028.0,2974,361260,A,A
05/06/2020,IN,21870,98626.0,1377,120496,A+,B
05/06/2020,KS,5734,36380.0,144,42114,A,B
05/06/2020,KY,5822,55192.0,275,61014,A,A
05/06/2020,LA,30399,164273.0,2115,194672,B,A
05/06/2020,MA,72025,267614.0,4420,339639,A,B
05/06/2020,MD,28163,115849.0,1437,144012,A,A
05/06/2020,ME,1254,22092.0,62,23346,B,A
05/06/2020,MI,45054,188177.0,4250,233231,A+,B
05/06/2020,MN,8579,84653.0,485,93232,A,A
05/06/2020,MO,9102,91645.0,396,100747,B,A
05/06/2020,MS,8424,72101.0,374,80525,B,A
05/06/2020,MT,456,19248.0,16,19704,C,A
05/06/2020,NC,12758,151724.0,477,164482,B,A
05/06/2020,ND,1323,37309.0,31,38632,C,B
05/06/2020,NE,6438,29690.0,82,36128,D,A
05/06/2020,NH,2636,25097.0,92,27812,B,B
05/06/2020,NJ,131890,157030.0,8549,289514,A+,A
05/06/2020,NM,4138,79113.0,162,83251,C,A
05/06/2020,NV,5663,43612.0,276,49275,D,A
05/06/2020,NY,321192,707707.0,19877,1028899,B,A
05/06/2020,OH,21576,147353.0,1225,168929,B,B
05/06/2020,OK,4201,78689.0,253,82890,A,B
05/06/2020,OR,2916,65060.0,115,67976,A+,A
05/06/2020,PA,51845,204495.0,3106,256340,C,A
05/06/2020,RI,10205,69168.0,370,79373,A+,B
05/06/2020,SC,6936,70546.0,305,77482,B,B
05/06/2020,SD,2779,16637.0,29,19416,C,A
05/06/2020,TN,13938,213163.0,239,227101,B,A
05/06/2020,TX,34422,404516.0,948,438938,B,A
05/06/2020,UT,5595,125407.0,58,131002,C,A
05/06/2020,VA,20256,93452.0,713,114177,A+,A
05/06/2020,VT,908,16968.0,52,17876,B,A
05/06/2020,WA,15594,203859.0,862,219453,B,C
05/06/2020,WI,8901,87826.0,362,96939,A+,A
05/06/2020,WV,1248,54536.0,50,55784,C,B
05/06/2020,WY,604,11403.0,7,12007,C,A
05/06/2020,PR,1968,,99,1968,D,A
05/06/2020,AS,0,83.0,0,83,F,
05/06/2020,GU,151,3476.0,5,3627,F,
05/06/2020,MP,15,1783.0,2,1798,D,
05/06/2020,VI,66,990.0,4,1093,C,
