DateRecorded,State,CountyName,ICUBedOccupancyRate
05/11/2020,AK,Anchorage,0.71
05/11/2020,AK,Fairbanks North Star,0.66
05/11/2020,AK,Juneau,0.32
05/11/2020,AK,Kenai Peninsula,0.69
05/11/2020,AK,Ketchikan Gateway,0.31
05/11/2020,AK,Matanuska-Susitna,0.33
05/11/2020,AL,Autauga,0.53
05/11/2020,AL,Baldwin,0.65
05/11/2020,AL,Barbour,0.42
05/11/2020,AL,Blount,0.34
05/11/2020,AL,Butler,0.38
05/11/2020,AL,Calhoun,0.94
05/11/2020,AL,Chilton,0.09
05/11/2020,AL,Clay,0.41
05/11/2020,AL,Coffee,0.34
05/11/2020,AL,Colbert,0.33
05/11/2020,AL,Covington,0.68
05/11/2020,AL,Cullman,0.69
05/11/2020,AL,Dale,0.24
05/11/2020,AL,Dallas,0.7
05/11/2020,AL,DeKalb,0.46
05/11/2020,AL,Elmore,0.2
05/11/2020,AL,Escambia,0.39
05/11/2020,AL,Etowah,0.86
05/11/2020,AL,Fayette,0.04
05/11/2020,AL,Franklin,0.48
05/11/2020,AL,Geneva,0.22
05/11/2020,AL,Houston,0.86
05/11/2020,AL,Jackson,0.55
05/11/2020,AL,Jefferson,0.75
05/11/2020,AL,Lauderdale,0.43
05/11/2020,AL,Lawrence,0.02
05/11/2020,AL,Lee,0.47
05/11/2020,AL,Limestone,0.23
05/11/2020,AL,Madison,0.79
05/11/2020,AL,Marengo,0.51
05/11/2020,AL,Marion,0.0
05/11/2020,AL,Marshall,0.72
05/11/2020,AL,Mobile,0.82
05/11/2020,AL,Monroe,0.34
05/11/2020,AL,Montgomery,0.7
05/11/2020,AL,Morgan,0.72
05/11/2020,AL,Pickens,0.0
05/11/2020,AL,Pike,0.3
05/11/2020,AL,Shelby,0.67
05/11/2020,AL,St. Clair,0.64
05/11/2020,AL,Talladega,0.6
05/11/2020,AL,Tallapoosa,0.83
05/11/2020,AL,Tuscaloosa,0.95
05/11/2020,AL,Walker,0.67
05/11/2020,AL,Winston,0.04
05/11/2020,AR,Ashley,0.21
05/11/2020,AR,Baxter,0.77
05/11/2020,AR,Benton,0.67
05/11/2020,AR,Boone,0.21
05/11/2020,AR,Columbia,0.15
05/11/2020,AR,Craighead,0.71
05/11/2020,AR,Crawford,0.07
05/11/2020,AR,Drew,0.37
05/11/2020,AR,Faulkner,0.72
05/11/2020,AR,Garland,0.85
05/11/2020,AR,Greene,0.7
05/11/2020,AR,Hempstead,0.27
05/11/2020,AR,Hot Spring,0.42
05/11/2020,AR,Independence,0.56
05/11/2020,AR,Jefferson,0.4
05/11/2020,AR,Johnson,0.21
05/11/2020,AR,Mississippi,0.16
05/11/2020,AR,Ouachita,0.31
05/11/2020,AR,Phillips,0.52
05/11/2020,AR,Polk,0.51
05/11/2020,AR,Pulaski,0.78
05/11/2020,AR,Randolph,0.04
05/11/2020,AR,Saline,0.54
05/11/2020,AR,Sebastian,0.23
05/11/2020,AR,St. Francis,0.07
05/11/2020,AR,Union,0.5
05/11/2020,AR,Washington,0.49
05/11/2020,AR,White,0.7
05/11/2020,AZ,Cochise,0.29
05/11/2020,AZ,Coconino,0.49
05/11/2020,AZ,Gila,0.33
05/11/2020,AZ,La Paz,0.48
05/11/2020,AZ,Maricopa,0.58
05/11/2020,AZ,Mohave,0.45
05/11/2020,AZ,Navajo,0.69
05/11/2020,AZ,Pima,0.52
05/11/2020,AZ,Pinal,0.5
05/11/2020,AZ,Yavapai,0.39
05/11/2020,AZ,Yuma,0.4
05/11/2020,CA,Alameda,0.54
05/11/2020,CA,Amador,0.64
05/11/2020,CA,Butte,0.56
05/11/2020,CA,Colusa,0.34
05/11/2020,CA,Contra Costa,0.6
05/11/2020,CA,Del Norte,0.51
05/11/2020,CA,El Dorado,0.36
05/11/2020,CA,Fresno,0.76
05/11/2020,CA,Humboldt,0.62
05/11/2020,CA,Imperial,0.35
05/11/2020,CA,Inyo,0.12
05/11/2020,CA,Kern,0.53
05/11/2020,CA,Kings,0.34
05/11/2020,CA,Lake,0.66
05/11/2020,CA,Los Angeles,0.62
05/11/2020,CA,Madera,0.52
05/11/2020,CA,Marin,0.83
05/11/2020,CA,Mendocino,0.56
05/11/2020,CA,Merced,0.53
05/11/2020,CA,Mono,0.15
05/11/2020,CA,Monterey,0.5
05/11/2020,CA,Napa,0.32
05/11/2020,CA,Nevada,0.53
05/11/2020,CA,Orange,0.54
05/11/2020,CA,Placer,0.73
05/11/2020,CA,Riverside,0.59
05/11/2020,CA,Sacramento,0.62
05/11/2020,CA,San Benito,0.33
05/11/2020,CA,San Bernardino,0.66
05/11/2020,CA,San Diego,0.57
05/11/2020,CA,San Francisco,0.59
05/11/2020,CA,San Joaquin,0.64
05/11/2020,CA,San Luis Obispo,0.32
05/11/2020,CA,San Mateo,0.41
05/11/2020,CA,Santa Barbara,0.62
05/11/2020,CA,Santa Clara,0.57
05/11/2020,CA,Santa Cruz,0.83
05/11/2020,CA,Shasta,0.31
05/11/2020,CA,Siskiyou,0.42
05/11/2020,CA,Solano,0.44
05/11/2020,CA,Sonoma,0.56
05/11/2020,CA,Stanislaus,0.67
05/11/2020,CA,Tehama,0.49
