DateRecorded,DateCollected,CDCLabs,USPublicHealthLabs
05/11/2020,01/18/2020,4,0
05/11/2020,01/19/2020,0,0
05/11/2020,01/20/2020,7,0
05/11/2020,01/21/2020,3,0
05/11/2020,01/22/2020,10,0
05/11/2020,01/23/2020,36,0
05/11/2020,01/24/2020,53,0
05/11/2020,01/25/2020,101,0
05/11/2020,01/26/2020,79,0
05/11/2020,01/27/2020,77,0
05/11/2020,01/28/2020,65,0
05/11/2020,01/29/2020,102,0
05/11/2020,01/30/2020,256,0
05/11/2020,01/31/2020,63,0
05/11/2020,02/01/2020,310,3
05/11/2020,02/02/2020,33,1
05/11/2020,02/03/2020,131,1
05/11/2020,02/04/2020,93,2
05/11/2020,02/05/2020,104,4
05/11/2020,02/06/2020,74,4
05/11/2020,02/07/2020,93,0
05/11/2020,02/08/2020,79,0
05/11/2020,02/09/2020,36,7
05/11/2020,02/10/2020,37,4
05/11/2020,02/11/2020,95,7
05/11/2020,02/12/2020,56,2
05/11/2020,02/13/2020,47,6
05/11/2020,02/14/2020,36,8
05/11/2020,02/15/2020,51,6
05/11/2020,02/16/2020,24,1
05/11/2020,02/17/2020,7,29
05/11/2020,02/18/2020,32,13
05/11/2020,02/19/2020,63,9
05/11/2020,02/20/2020,55,8
05/11/2020,02/21/2020,249,7
05/11/2020,02/22/2020,254,5
05/11/2020,02/23/2020,67,4
05/11/2020,02/24/2020,50,29
05/11/2020,02/25/2020,50,19
05/11/2020,02/26/2020,80,33
05/11/2020,02/27/2020,62,149
05/11/2020,02/28/2020,86,194
05/11/2020,02/29/2020,80,295
05/11/2020,03/01/2020,31,273
05/11/2020,03/02/2020,94,585
05/11/2020,03/03/2020,73,844
05/11/2020,03/04/2020,111,1227
05/11/2020,03/05/2020,86,1789
05/11/2020,03/06/2020,5,2048
05/11/2020,03/07/2020,179,1635
05/11/2020,03/08/2020,82,1830
05/11/2020,03/09/2020,36,3847
05/11/2020,03/10/2020,172,4070
05/11/2020,03/11/2020,143,5022
05/11/2020,03/12/2020,205,7192
05/11/2020,03/13/2020,29,7739
05/11/2020,03/14/2020,20,6755
05/11/2020,03/15/2020,1,6570
05/11/2020,03/16/2020,3,12494
05/11/2020,03/17/2020,15,12177
05/11/2020,03/18/2020,31,11169
05/11/2020,03/19/2020,15,11044
05/11/2020,03/20/2020,11,10754
05/11/2020,03/21/2020,32,6255
05/11/2020,03/22/2020,1,5512
05/11/2020,03/23/2020,2,10307
05/11/2020,03/24/2020,4,10276
05/11/2020,03/25/2020,29,10844
05/11/2020,03/26/2020,42,11636
05/11/2020,03/27/2020,26,11362
05/11/2020,03/28/2020,9,7760
05/11/2020,03/29/2020,1,6402
05/11/2020,03/30/2020,5,12522
05/11/2020,03/31/2020,34,12897
05/11/2020,04/01/2020,10,12694
05/11/2020,04/02/2020,32,13762
05/11/2020,04/03/2020,33,14082
05/11/2020,04/04/2020,17,8467
05/11/2020,04/05/2020,5,7785
05/11/2020,04/06/2020,11,14352
05/11/2020,04/07/2020,28,13731
05/11/2020,04/08/2020,31,14185
05/11/2020,04/09/2020,30,12993
05/11/2020,04/10/2020,24,13688
05/11/2020,04/11/2020,0,7254
05/11/2020,04/12/2020,0,4201
05/11/2020,04/13/2020,1,12703
05/11/2020,04/14/2020,21,12923
05/11/2020,04/15/2020,0,13578
05/11/2020,04/16/2020,32,13897
05/11/2020,04/17/2020,6,16086
05/11/2020,04/18/2020,17,8916
05/11/2020,04/19/2020,1,7265
05/11/2020,04/20/2020,0,16934
05/11/2020,04/21/2020,39,18185
05/11/2020,04/22/2020,6,21392
05/11/2020,04/23/2020,31,22937
05/11/2020,04/24/2020,19,25450
05/11/2020,04/25/2020,287,16080
05/11/2020,04/26/2020,0,8878
05/11/2020,04/27/2020,0,24179
05/11/2020,04/28/2020,51,24933
05/11/2020,04/29/2020,14,25380
05/11/2020,04/30/2020,53,25247
05/11/2020,05/01/2020,101,24384
05/11/2020,05/02/2020,164,11482
05/11/2020,05/03/2020,146,7089
05/11/2020,05/04/2020,1,22537
05/11/2020,05/05/2020,25,23651
05/11/2020,05/06/2020,59,20388
05/11/2020,05/07/2020,102,15217
05/11/2020,05/08/2020,50,8938
05/11/2020,05/09/2020,1,505
05/11/2020,05/10/2020,0,0
