Active,Combined_Key,Confirmed,Country_Region,Deaths,Last_Update,Lat,Long_,Province_State,Recovered
34,"Abbeville, South Carolina, US",34,US,0,2020-05-08 02:32:32,34.22333378,-82.46170658,South Carolina,0
131,"Acadia, Louisiana, US",142,US,11,2020-05-08 02:32:32,30.295064899999996,-92.41419698,Louisiana,0
456,"Accomack, Virginia, US",463,US,7,2020-05-08 02:32:32,37.76707161,-75.63234615,Virginia,0
702,"Ada, Idaho, US",721,US,19,2020-05-08 02:32:32,43.4526575,-116.24155159999998,Idaho,0
3,"Adair, Iowa, US",3,US,0,2020-05-08 02:32:32,41.33075609,-94.47105874,Iowa,0
71,"Adair, Kentucky, US",84,US,13,2020-05-08 02:32:32,37.10459774,-85.28129668,Kentucky,0
12,"Adair, Missouri, US",12,US,0,2020-05-08 02:32:32,40.19058551,-92.60078167,Missouri,0
66,"Adair, Oklahoma, US",69,US,3,2020-05-08 02:32:32,35.88494195,-94.65859267,Oklahoma,0
1968,"Adams, Colorado, US",2046,US,78,2020-05-08 02:32:32,39.87432092,-104.3362578,Colorado,0
3,"Adams, Idaho, US",3,US,0,2020-05-08 02:32:32,44.89333571,-116.4545247,Idaho,0
39,"Adams, Illinois, US",40,US,1,2020-05-08 02:32:32,39.98815591,-91.18786813,Illinois,0
7,"Adams, Indiana, US",8,US,1,2020-05-08 02:32:32,40.7457653,-84.93671406,Indiana,0
146,"Adams, Mississippi, US",157,US,11,2020-05-08 02:32:32,31.47669768,-91.35326037,Mississippi,0
213,"Adams, Nebraska, US",216,US,3,2020-05-08 02:32:32,40.52449420000001,-98.50117804,Nebraska,0
5,"Adams, Ohio, US",5,US,0,2020-05-08 02:32:32,38.84541072,-83.4718964,Ohio,0
146,"Adams, Pennsylvania, US",151,US,5,2020-05-08 02:32:32,39.87140411,-77.21610347,Pennsylvania,0
49,"Adams, Washington, US",49,US,0,2020-05-08 02:32:32,46.98299757,-118.56017340000001,Washington,0
3,"Adams, Wisconsin, US",4,US,1,2020-05-08 02:32:32,43.96974651,-89.76782777,Wisconsin,0
59,"Addison, Vermont, US",61,US,2,2020-05-08 02:32:32,44.03217337,-73.14130877,Vermont,0
103,"Aiken, South Carolina, US",109,US,6,2020-05-08 02:32:32,33.54338026,-81.63645384,South Carolina,0
1,"Aitkin, Minnesota, US",1,US,0,2020-05-08 02:32:32,46.60962049,-93.41168259999999,Minnesota,0
295,"Alachua, Florida, US",300,US,5,2020-05-08 02:32:32,29.67866525,-82.35928158,Florida,0
140,"Alamance, North Carolina, US",143,US,3,2020-05-08 02:32:32,36.0434701,-79.39976137,North Carolina,0
1850,"Alameda, California, US",1917,US,67,2020-05-08 02:32:32,37.64629437,-121.8929271,California,0
23,"Alamosa, Colorado, US",25,US,2,2020-05-08 02:32:32,37.57250606,-105.7885451,Colorado,0
1295,"Albany, New York, US",1348,US,53,2020-05-08 02:32:32,42.60060306,-73.97723916,New York,0
8,"Albany, Wyoming, US",8,US,0,2020-05-08 02:32:32,41.65498705,-105.72354150000001,Wyoming,0
108,"Albemarle, Virginia, US",112,US,4,2020-05-08 02:32:32,38.02080697,-78.55481085,Virginia,0
3,"Alcona, Michigan, US",4,US,1,2020-05-08 02:32:32,44.6846864,-83.59507875,Michigan,0
9,"Alcorn, Mississippi, US",10,US,1,2020-05-08 02:32:32,34.88084463,-88.57996173,Mississippi,0
6,"Alexander, Illinois, US",6,US,0,2020-05-08 02:32:32,37.18049267,-89.32910838,Illinois,0
8,"Alexander, North Carolina, US",8,US,0,2020-05-08 02:32:32,35.922379600000006,-81.17751948,North Carolina,0
1031,"Alexandria, Virginia, US",1060,US,29,2020-05-08 02:32:32,38.814003,-77.08183073,Virginia,0
1,"Alfalfa, Oklahoma, US",1,US,0,2020-05-08 02:32:32,36.73090616,-98.32408495,Oklahoma,0
95,"Allamakee, Iowa, US",99,US,4,2020-05-08 02:32:32,43.28383218,-91.37860922,Iowa,0
124,"Allegan, Michigan, US",126,US,2,2020-05-08 02:32:32,42.59147037,-85.89102866,Michigan,0
131,"Allegany, Maryland, US",143,US,12,2020-05-08 02:32:32,39.62357628,-78.69280486,Maryland,0
35,"Allegany, New York, US",35,US,0,2020-05-08 02:32:32,42.25748406,-78.02750466,New York,0
7,"Alleghany, North Carolina, US",7,US,0,2020-05-08 02:32:32,36.49360862,-81.12857041,North Carolina,0
6,"Alleghany, Virginia, US",6,US,0,2020-05-08 02:32:32,37.78636074,-80.00222498,Virginia,0
1322,"Allegheny, Pennsylvania, US",1439,US,117,2020-05-08 02:32:32,40.46809875,-79.98167747,Pennsylvania,0
685,"Allen, Indiana, US",743,US,58,2020-05-08 02:32:32,41.09194313,-85.06800636,Indiana,0
25,"Allen, Kentucky, US",25,US,0,2020-05-08 02:32:32,36.75197631,-86.19457544,Kentucky,0
81,"Allen, Louisiana, US",90,US,9,2020-05-08 02:32:32,30.65385745,-92.82442028,Louisiana,0
110,"Allen, Ohio, US",138,US,28,2020-05-08 02:32:32,40.77285242,-84.10802343,Ohio,0
16,"Allendale, South Carolina, US",19,US,3,2020-05-08 02:32:32,32.98837386,-81.35321066,South Carolina,0
78,"Alpena, Michigan, US",86,US,8,2020-05-08 02:32:32,45.03477666,-83.62212411,Michigan,0
2,"Alpine, California, US",2,US,0,2020-05-08 02:32:32,38.59678594,-119.82235940000001,California,0
8,"Amador, California, US",8,US,0,2020-05-08 02:32:32,38.44583082,-120.65696000000001,California,0
16,"Amelia, Virginia, US",17,US,1,2020-05-08 02:32:32,37.34081025,-77.98584649,Virginia,0
15,"Amherst, Virginia, US",15,US,0,2020-05-08 02:32:32,37.60308293,-79.14548696,Virginia,0
33,"Amite, Mississippi, US",33,US,0,2020-05-08 02:32:32,31.17467303,-90.80501621,Mississippi,0
187,"Anchorage, Alaska, US",191,US,4,2020-05-08 02:32:32,61.14998174,-149.14269860000005,Alaska,0
0,"Anderson, Kansas, US",0,US,0,2020-05-08 02:32:32,38.21413251,-95.29272815,Kansas,0
8,"Anderson, Kentucky, US",9,US,1,2020-05-08 02:32:32,38.00671029,-84.99171713,Kentucky,0
174,"Anderson, South Carolina, US",182,US,8,2020-05-08 02:32:32,34.51828081,-82.63959517,South Carolina,0
30,"Anderson, Tennessee, US",31,US,1,2020-05-08 02:32:32,36.12684348,-84.19965764,Tennessee,0
40,"Anderson, Texas, US",40,US,0,2020-05-08 02:32:32,31.81534745,-95.65354823,Texas,0
6,"Andrew, Missouri, US",6,US,0,2020-05-08 02:32:32,39.98492163,-94.80163024,Missouri,0
21,"Andrews, Texas, US",21,US,0,2020-05-08 02:32:32,32.30468633,-102.63765479999999,Texas,0
72,"Androscoggin, Maine, US",74,US,2,2020-05-08 02:32:32,44.1664747,-70.20380627,Maine,0
93,"Angelina, Texas, US",93,US,0,2020-05-08 02:32:32,31.25457347,-94.60901487,Texas,0
2083,"Anne Arundel, Maryland, US",2194,US,111,2020-05-08 02:32:32,39.00670238,-76.60329337,Maryland,0
399,"Anoka, Minnesota, US",426,US,27,2020-05-08 02:32:32,45.27476015,-93.24604565,Minnesota,0
33,"Anson, North Carolina, US",33,US,0,2020-05-08 02:32:32,34.97403241,-80.09953279,North Carolina,0
4,"Antelope, Nebraska, US",4,US,0,2020-05-08 02:32:32,42.17695516,-98.06662829999999,Nebraska,0
10,"Antrim, Michigan, US",10,US,0,2020-05-08 02:32:32,44.99690221,-85.15503082,Michigan,0
623,"Apache, Arizona, US",630,US,7,2020-05-08 02:32:32,35.39465006,-109.4892383,Arizona,0
3,"Appanoose, Iowa, US",6,US,3,2020-05-08 02:32:32,40.74324454,-92.86865906,Iowa,0
78,"Appling, Georgia, US",88,US,10,2020-05-08 02:32:32,31.74847232,-82.28909114,Georgia,0
21,"Appomattox, Virginia, US",21,US,0,2020-05-08 02:32:32,37.37569884,-78.81340003,Virginia,0
2,"Aransas, Texas, US",2,US,0,2020-05-08 02:32:32,28.10556197,-96.9995047,Texas,0
2917,"Arapahoe, Colorado, US",3089,US,172,2020-05-08 02:32:32,39.64977461,-104.3353617,Colorado,0
8,"Archuleta, Colorado, US",8,US,0,2020-05-08 02:32:32,37.19474156,-107.04768670000001,Colorado,0
26,"Arenac, Michigan, US",27,US,1,2020-05-08 02:32:32,44.0636262,-83.89277559,Michigan,0
2,"Arkansas, Arkansas, US",2,US,0,2020-05-08 02:32:32,34.29145151,-91.37277296,Arkansas,0
1196,"Arlington, Virginia, US",1248,US,52,2020-05-08 02:32:32,38.8767675,-77.10139853,Virginia,0
52,"Armstrong, Pennsylvania, US",55,US,3,2020-05-08 02:32:32,40.81665618,-79.46290811,Pennsylvania,0
2,"Armstrong, Texas, US",2,US,0,2020-05-08 02:32:32,34.96507426,-101.35748740000001,Texas,0
6,"Aroostook, Maine, US",6,US,0,2020-05-08 02:32:32,46.65926321,-68.59841248,Maine,0
0,"Arthur, Nebraska, US",0,US,0,2020-05-08 02:32:32,41.56896142,-101.6959559,Nebraska,0
626,"Ascension, Louisiana, US",672,US,46,2020-05-08 02:32:32,30.20406249,-90.91328409999998,Louisiana,0
6,"Ashe, North Carolina, US",6,US,0,2020-05-08 02:32:32,36.43296207,-81.49862729,North Carolina,0
12,"Ashland, Ohio, US",12,US,0,2020-05-08 02:32:32,40.84772277,-82.27280781,Ohio,0
2,"Ashland, Wisconsin, US",2,US,0,2020-05-08 02:32:32,46.31956891,-90.67837132,Wisconsin,0
17,"Ashley, Arkansas, US",17,US,0,2020-05-08 02:32:32,33.19153461,-91.76984709999999,Arkansas,0
151,"Ashtabula, Ohio, US",169,US,18,2020-05-08 02:32:32,41.70860332,-80.74830218,Ohio,0
16,"Asotin, Washington, US",18,US,2,2020-05-08 02:32:32,46.18894415,-117.2022851,Washington,0
197,"Assumption, Louisiana, US",206,US,9,2020-05-08 02:32:32,29.89946234,-91.06461642,Louisiana,0
21,"Atascosa, Texas, US",22,US,1,2020-05-08 02:32:32,28.89333001,-98.52730485,Texas,0
12,"Atchison, Kansas, US",12,US,0,2020-05-08 02:32:32,39.53185661,-95.30870026,Kansas,0
2,"Atchison, Missouri, US",2,US,0,2020-05-08 02:32:32,40.43238737,-95.42970639,Missouri,0
