checkTimeEt,commercialScore,dataGrade,dataQualityGrade,dateChecked,dateModified,death,fips,hospitalized,hospitalizedCumulative,hospitalizedCurrently,inIcuCumulative,inIcuCurrently,lastUpdateEt,negative,negativeRegularScore,negativeScore,onVentilatorCumulative,onVentilatorCurrently,pending,posNeg,positive,positiveScore,recovered,score,state,total,totalTestResults
5/13 16:08,1.0,A,B,2020-05-13T20:08:00Z,2020-05-13T04:00:00Z,10,02,,,12.0,,,5/13 00:00,30266.0,1.0,1.0,,,,30649,383,1.0,338.0,4.0,AK,30649,30649
5/13 16:53,1.0,B,B,2020-05-13T20:53:00Z,2020-05-13T04:00:00Z,449,01,1317.0,1317.0,,477.0,,5/13 00:00,125755.0,0.0,1.0,284.0,,,136372,10617,1.0,,3.0,AL,136372,136372
5/13 16:17,1.0,A,A,2020-05-13T20:17:00Z,2020-05-12T22:33:00Z,95,05,497.0,497.0,59.0,,,5/12 18:33,69051.0,1.0,1.0,99.0,12.0,,73215,4164,1.0,3220.0,4.0,AR,73215,73215
5/13 15:28,1.0,B,A+,2020-05-13T19:28:00Z,2020-05-13T04:00:00Z,594,04,1590.0,1590.0,755.0,,292.0,5/13 00:00,115574.0,0.0,1.0,,191.0,,127750,12176,1.0,2979.0,3.0,AZ,127750,127750
5/13 17:01,1.0,B,B,2020-05-13T21:01:00Z,2020-05-13T04:00:00Z,2934,06,,,4545.0,,1314.0,5/13 00:00,994451.0,0.0,1.0,,,,1065592,71141,1.0,,3.0,CA,1065592,1065592
5/13 16:36,1.0,A,A,2020-05-13T20:36:00Z,2020-05-13T04:00:00Z,1009,08,3695.0,3695.0,688.0,,,5/13 00:00,91093.0,1.0,1.0,,,,111250,20157,1.0,3171.0,4.0,CO,111250,111250
5/13 16:42,1.0,A,B,2020-05-13T20:42:00Z,2020-05-13T18:00:00Z,3125,09,9389.0,9389.0,1158.0,,,5/13 14:00,108088.0,1.0,1.0,,,,142943,34855,1.0,5413.0,4.0,CT,142943,142943
5/13 15:46,1.0,A,A,2020-05-13T19:46:00Z,2020-05-12T04:00:00Z,350,11,,,423.0,,,5/12 00:00,24565.0,1.0,1.0,,82.0,,31149,6584,1.0,934.0,4.0,DC,31149,31149
5/13 15:55,1.0,A,B,2020-05-13T19:55:00Z,2020-05-12T22:00:00Z,247,10,,,282.0,,467.0,5/12 18:00,27801.0,1.0,1.0,,263.0,,34753,6952,1.0,2942.0,4.0,DE,34753,34753
5/13 16:01,1.0,A,A+,2020-05-13T20:01:00Z,2020-05-13T13:43:00Z,1898,12,7835.0,7835.0,,,,5/13 09:43,552361.0,1.0,1.0,,,1191.0,594763,42402,1.0,,4.0,FL,595954,594763
