checkTimeEt,commercialScore,dataGrade,dataQualityGrade,dateChecked,dateModified,death,fips,hospitalized,hospitalizedCumulative,hospitalizedCurrently,inIcuCumulative,inIcuCurrently,lastUpdateEt,negative,negativeRegularScore,negativeScore,onVentilatorCumulative,onVentilatorCurrently,pending,posNeg,positive,positiveScore,recovered,score,state,total,totalTestResults
5/05 15:50,1.0,A,C,2020-05-05T19:50:00Z,2020-05-05T04:00:00Z,9,02,,,13.0,,,5/05 00:00,22321,1.0,1.0,,,,22692,371,1.0,277.0,4.0,AK,22692,22692
5/05 16:36,1.0,B,B,2020-05-05T20:36:00Z,2020-05-05T04:00:00Z,313,01,1107.0,1107.0,,428.0,,5/05 00:00,98481,0.0,1.0,255.0,,,106766,8285,1.0,,3.0,AL,106766,106766
5/05 16:50,1.0,A,B,2020-05-05T20:50:00Z,2020-05-05T20:10:00Z,80,05,453.0,453.0,89.0,,,5/05 16:10,51139,1.0,1.0,89.0,16.0,,54635,3496,1.0,2041.0,4.0,AR,54635,54635
5/05 16:19,1.0,B,A+,2020-05-05T20:19:00Z,2020-05-05T04:00:00Z,395,04,1397.0,1397.0,728.0,,303.0,5/05 00:00,78955,0.0,1.0,,185.0,,88260,9305,1.0,1671.0,3.0,AZ,88260,88260
5/05 16:27,1.0,B,B,2020-05-05T20:27:00Z,2020-05-05T18:00:00Z,2317,06,,,4622.0,,1388.0,5/05 14:00,723690,0.0,1.0,,,,779902,56212,1.0,,3.0,CA,779902,779902
5/05 16:41,1.0,A,B,2020-05-05T20:41:00Z,2020-05-05T04:00:00Z,851,08,2838.0,2838.0,834.0,,,5/05 00:00,68097,1.0,1.0,,,,85004,16907,1.0,2743.0,4.0,CO,85004,85004
5/05 16:47,1.0,A,B,2020-05-05T20:47:00Z,2020-05-04T20:00:00Z,2633,09,7758.0,7758.0,1500.0,,,5/04 16:00,78022,1.0,1.0,,,,108643,30621,1.0,4346.0,4.0,CT,108643,108643
5/05 16:30,1.0,A,A+,2020-05-05T20:30:00Z,2020-05-04T04:00:00Z,264,11,,,447.0,,130.0,5/04 00:00,19007,1.0,1.0,,91.0,,24329,5322,1.0,667.0,4.0,DC,24329,24329
5/05 16:47,1.0,A,B,2020-05-05T20:47:00Z,2020-05-04T22:00:00Z,187,10,,,284.0,,,5/04 18:00,19309,1.0,1.0,,,,24680,5371,1.0,1847.0,4.0,DE,24680,24680
5/05 16:45,1.0,A,C,2020-05-05T20:45:00Z,2020-05-05T14:31:00Z,1536,12,6546.0,6546.0,,,,5/05 10:31,428252,1.0,1.0,,,1265.0,465691,37439,1.0,,4.0,FL,466956,465691
