AllBedOccupancyRate,CountyName,ICUBedOccupancyRate,LicensedAllBeds,LicensedAllBedsPer1000Adults20_plus,LicensedAllBedsPer1000Elderly65_plus,LicensedAllBedsPer1000People,Population,Population_20_plus,Population_65_plus,StaffedAllBeds,StaffedAllBedsPer1000Adults20_plus,StaffedAllBedsPer1000Elderly65_plus,StaffedAllBedsPer1000People,StaffedICUBeds,StaffedICUBedsPer1000Adults20_plus,StaffedICUBedsPer1000Elderly65_plus,StaffedICUBedsPer1000People,State,fips_code
,Aleutians West,,0.0,0.0,0.0,0.0,5723.0,4983.0,394.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,AK,02016
0.66,Anchorage,0.71,1149.0,5.382,35.536,3.941,291538.0,213508.0,32333.0,979.0,4.585,30.279,3.358,73.0,0.342,2.258,0.25,AK,02020
0.4,Bethel,,37.0,3.339,26.391,2.031,18216.0,11082.0,1402.0,34.0,3.068,24.251,1.866,0.0,0.0,0.0,0.0,AK,02050
0.15,Dillingham,,18.0,5.491,38.298,3.6,5000.0,3278.0,470.0,18.0,5.491,38.298,3.6,0.0,0.0,0.0,0.0,AK,02070
0.46,Fairbanks North Star,0.66,175.0,2.414,17.15,1.768,98971.0,72505.0,10204.0,145.0,2.0,14.21,1.465,13.0,0.179,1.274,0.131,AK,02090
0.41,Juneau,0.32,73.0,2.977,16.985,2.273,32113.0,24525.0,4298.0,45.0,1.835,10.47,1.401,9.0,0.367,2.094,0.28,AK,02110
0.56,Kenai Peninsula,0.69,77.0,1.747,7.558,1.315,58533.0,44086.0,10188.0,76.0,1.724,7.46,1.298,6.0,0.136,0.589,0.103,AK,02122
0.42,Ketchikan Gateway,0.31,25.0,2.378,11.563,1.796,13918.0,10514.0,2162.0,25.0,2.378,11.563,1.796,4.0,0.38,1.85,0.287,AK,02130
0.22,Kodiak Island,,25.0,2.604,18.129,1.873,13345.0,9602.0,1379.0,24.0,2.499,17.404,1.798,0.0,0.0,0.0,0.0,AK,02150
0.72,Matanuska-Susitna,0.33,125.0,1.639,9.755,1.162,107610.0,76265.0,12814.0,74.0,0.97,5.775,0.688,14.0,0.184,1.093,0.13,AK,02170
,Nome,,36.0,5.762,46.512,3.597,10008.0,6248.0,774.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,AK,02180
0.06,North Slope,,0.0,0.0,0.0,0.0,9872.0,7055.0,673.0,20.0,2.835,29.718,2.026,0.0,0.0,0.0,0.0,AK,02185
0.23,Northwest Arctic,,17.0,3.59,30.303,2.216,7671.0,4736.0,561.0,17.0,3.59,30.303,2.216,0.0,0.0,0.0,0.0,AK,02188
0.26,Petersburg,,12.0,4.831,19.512,3.726,3221.0,2484.0,615.0,12.0,4.831,19.512,3.726,0.0,0.0,0.0,0.0,AK,02195
0.37,Sitka,,52.0,7.881,38.207,6.014,8647.0,6598.0,1361.0,25.0,3.789,18.369,2.891,0.0,0.0,0.0,0.0,AK,02220
0.22,Valdez-Cordova,,24.0,3.518,19.108,2.619,9164.0,6823.0,1256.0,24.0,3.518,19.108,2.619,0.0,0.0,0.0,0.0,AK,02261
0.19,Wrangell,,8.0,4.094,14.599,3.196,2503.0,1954.0,548.0,8.0,4.094,14.599,3.196,0.0,0.0,0.0,0.0,AK,02275
0.62,Autauga,0.53,85.0,2.064,9.823,1.529,55601.0,41177.0,8653.0,55.0,1.336,6.356,0.989,6.0,0.146,0.693,0.108,AL,01001
0.64,Baldwin,0.65,386.0,2.32,8.66,1.77,218022.0,166352.0,44571.0,362.0,2.176,8.122,1.66,51.0,0.307,1.144,0.234,AL,01003
0.43,Barbour,0.42,74.0,3.856,15.315,2.974,24881.0,19189.0,4832.0,30.0,1.563,6.209,1.206,5.0,0.261,1.035,0.201,AL,01005
0.37,Bibb,,35.0,2.018,9.485,1.562,22400.0,17348.0,3690.0,25.0,1.441,6.775,1.116,0.0,0.0,0.0,0.0,AL,01007
0.5,Blount,0.34,25.0,0.579,2.37,0.432,57840.0,43175.0,10548.0,25.0,0.579,2.37,0.432,6.0,0.139,0.569,0.104,AL,01009
0.21,Bullock,,61.0,7.81,36.725,6.017,10138.0,7810.0,1661.0,30.0,3.841,18.061,2.959,0.0,0.0,0.0,0.0,AL,01011
0.18,Butler,0.38,94.0,6.322,23.529,4.776,19680.0,14868.0,3995.0,66.0,4.439,16.521,3.354,7.0,0.471,1.752,0.356,AL,01013
0.49,Calhoun,0.94,590.0,6.821,29.14,5.163,114277.0,86499.0,20247.0,446.0,5.156,22.028,3.903,24.0,0.277,1.185,0.21,AL,01015
,Chambers,,115.0,4.434,17.525,3.421,33615.0,25934.0,6562.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,AL,01017
0.24,Cherokee,,60.0,2.927,10.033,2.305,26032.0,20497.0,5980.0,45.0,2.195,7.525,1.729,0.0,0.0,0.0,0.0,AL,01019
0.28,Chilton,0.09,30.0,0.918,4.048,0.679,44153.0,32683.0,7411.0,26.0,0.796,3.508,0.589,6.0,0.184,0.81,0.136,AL,01021
0.23,Choctaw,,25.0,2.493,8.466,1.947,12841.0,10028.0,2953.0,25.0,2.493,8.466,1.947,0.0,0.0,0.0,0.0,AL,01023
0.3,Clarke,,85.0,4.678,17.883,3.554,23920.0,18171.0,4753.0,56.0,3.082,11.782,2.341,0.0,0.0,0.0,0.0,AL,01025
0.29,Clay,0.41,46.0,4.47,16.721,3.465,13275.0,10291.0,2751.0,46.0,4.47,16.721,3.465,4.0,0.389,1.454,0.301,AL,01027
0.28,Coffee,0.34,131.0,3.405,14.885,2.524,51909.0,38476.0,8801.0,99.0,2.573,11.249,1.907,7.0,0.182,0.795,0.135,AL,01031
0.3,Colbert,0.33,383.0,9.077,35.093,6.994,54762.0,42196.0,10914.0,300.0,7.11,27.488,5.478,22.0,0.521,2.016,0.402,AL,01033
0.29,Conecuh,,58.0,6.121,20.999,4.724,12277.0,9476.0,2762.0,44.0,4.643,15.93,3.584,0.0,0.0,0.0,0.0,AL,01035
0.32,Covington,0.68,187.0,6.643,24.005,5.056,36986.0,28151.0,7790.0,128.0,4.547,16.431,3.461,13.0,0.462,1.669,0.351,AL,01039
0.12,Crenshaw,,93.0,8.961,35.375,6.727,13824.0,10378.0,2629.0,29.0,2.794,11.031,2.098,0.0,0.0,0.0,0.0,AL,01041
0.49,Cullman,0.69,185.0,2.941,11.977,2.217,83442.0,62910.0,15446.0,185.0,2.941,11.977,2.217,12.0,0.191,0.777,0.144,AL,01043
0.28,Dale,0.24,89.0,2.428,10.762,1.818,48956.0,36652.0,8270.0,77.0,2.101,9.311,1.573,6.0,0.164,0.726,0.123,AL,01045
0.43,Dallas,0.7,175.0,6.206,25.285,4.568,38310.0,28198.0,6921.0,109.0,3.866,15.749,2.845,23.0,0.816,3.323,0.6,AL,01047
0.32,DeKalb,0.46,134.0,2.555,10.875,1.877,71385.0,52447.0,12322.0,97.0,1.849,7.872,1.359,12.0,0.229,0.974,0.168,AL,01049
0.33,Elmore,0.2,129.0,2.084,10.403,1.575,81887.0,61893.0,12400.0,70.0,1.131,5.645,0.855,5.0,0.081,0.403,0.061,AL,01051
0.34,Escambia,0.39,142.0,5.109,21.528,3.864,36748.0,27795.0,6596.0,95.0,3.418,14.403,2.585,14.0,0.504,2.122,0.381,AL,01053
0.5,Etowah,0.86,739.0,9.447,37.923,7.21,102501.0,78222.0,19487.0,590.0,7.543,30.277,5.756,56.0,0.716,2.874,0.546,AL,01055
0.26,Fayette,0.04,61.0,4.837,17.569,3.712,16433.0,12612.0,3472.0,45.0,3.568,12.961,2.738,8.0,0.634,2.304,0.487,AL,01057
0.36,Franklin,0.48,125.0,5.443,23.603,3.986,31363.0,22966.0,5296.0,74.0,3.222,13.973,2.359,7.0,0.305,1.322,0.223,AL,01059
0.16,Geneva,0.22,83.0,4.151,15.54,3.154,26314.0,19997.0,5341.0,73.0,3.651,13.668,2.774,6.0,0.3,1.123,0.228,AL,01061
0.06,Greene,,20.0,3.204,10.887,2.429,8233.0,6242.0,1837.0,20.0,3.204,10.887,2.429,0.0,0.0,0.0,0.0,AL,01063
0.25,Hale,,39.0,3.555,13.786,2.648,14726.0,10972.0,2829.0,28.0,2.552,9.897,1.901,0.0,0.0,0.0,0.0,AL,01065
0.74,Houston,0.86,790.0,10.083,42.384,7.544,104722.0,78351.0,18639.0,651.0,8.309,34.927,6.216,66.0,0.842,3.541,0.63,AL,01069
0.16,Jackson,0.55,170.0,4.266,16.389,3.286,51736.0,39846.0,10373.0,168.0,4.216,16.196,3.247,10.0,0.251,0.964,0.193,AL,01071
0.72,Jefferson,0.75,4732.0,9.606,45.262,7.177,659300.0,492611.0,104547.0,3696.0,7.503,35.353,5.606,477.0,0.968,4.563,0.723,AL,01073
0.73,Lauderdale,0.43,263.0,3.68,14.168,2.847,92387.0,71476.0,18563.0,233.0,3.26,12.552,2.522,52.0,0.728,2.801,0.563,AL,01077
0.16,Lawrence,0.02,98.0,3.893,15.932,2.974,32957.0,25172.0,6151.0,43.0,1.708,6.991,1.305,6.0,0.238,0.975,0.182,AL,01079
