CDCLabs,DateCollected,USPublicHealthLabs
4,1/18,0
0,1/19,0
7,1/20,0
3,1/21,0
10,1/22,0
36,1/23,0
53,1/24,0
101,1/25,0
79,1/26,0
77,1/27,0
65,1/28,0
102,1/29,0
256,1/30,0
63,1/31,0
310,2/1,3
33,2/2,1
131,2/3,1
93,2/4,1
104,2/5,3
74,2/6,4
93,2/7,0
79,2/8,0
36,2/9,7
37,2/10,4
95,2/11,7
56,2/12,2
47,2/13,6
36,2/14,8
51,2/15,6
24,2/16,1
7,2/17,29
32,2/18,11
63,2/19,9
55,2/20,8
249,2/21,6
254,2/22,4
67,2/23,4
50,2/24,27
50,2/25,18
80,2/26,33
62,2/27,149
86,2/28,192
80,2/29,293
31,3/1,271
94,3/2,580
73,3/3,835
111,3/4,1209
86,3/5,1775
5,3/6,2040
179,3/7,1632
82,3/8,1823
36,3/9,3843
172,3/10,4056
143,3/11,5021
205,3/12,7183
29,3/13,7732
20,3/14,6753
1,3/15,6569
3,3/16,12485
15,3/17,12170
31,3/18,11161
15,3/19,11038
11,3/20,10750
32,3/21,6254
1,3/22,5506
2,3/23,10253
4,3/24,10181
29,3/25,10757
42,3/26,11527
26,3/27,11232
9,3/28,7670
1,3/29,6322
5,3/30,12412
34,3/31,12774
10,4/1,12456
32,4/2,13613
33,4/3,13936
17,4/4,8346
5,4/5,7708
11,4/6,14151
28,4/7,13496
31,4/8,14041
30,4/9,12826
24,4/10,13539
0,4/11,7127
0,4/12,4094
1,4/13,12516
21,4/14,12746
0,4/15,13391
32,4/16,13580
6,4/17,15743
17,4/18,7168
1,4/19,5532
0,4/20,15469
39,4/21,16314
6,4/22,20957
31,4/23,22229
19,4/24,24465
287,4/25,15780
0,4/26,8528
0,4/27,22612
51,4/28,21966
14,4/29,20670
52,4/30,18251
100,5/1,16316
156,5/2,4958
0,5/3,305
0,5/4,0
